
Scoring long reads

  371 reads (483,942 bp)
  693 reads (967,855 bp)
  925 reads (1,451,626 bp)
  1,117 reads (1,936,664 bp)
  1,337 reads (2,423,771 bp)
  117,868 reads (330,961,192 bp)
  118,038 reads (331,445,532 bp)
  118,207 reads (331,932,507 bp)
  118,394 reads (332,416,374 bp)
  118,565 reads (332,923,195 bp)
  118,725 reads (333,407,282 bp)
  118,890 reads (333,912,674 bp)
  119,062 reads (334,398,018 bp)
  119,209 reads (334,882,383 bp)
  119,390 reads (335,371,588 bp)
  119,551 reads (335,856,521 bp)
  119,740 reads (336,342,774 bp)
  119,908 reads (336,826,861 bp)
  120,080 reads (337,313,245 bp)
  120,246 reads (337,803,045 bp)
  120,371 reads (338,288,012 bp)
  120,443 reads (338,786,939 bp)
  120,755 reads (339,271,954 bp)
  121,013 reads (339,756,080 bp)
  121,299 reads (340,240,610 bp)
  121,519 reads (340,727,959 bp)
  121,712 reads (341,214,662 bp)
  121,897 reads (341,701,955 bp)
  122,082 reads (342,191,868 bp)
  122,295 reads (342,685,971 bp)
  122,468 reads (343,176,072 bp)
  122,660 reads (343,665,089 bp)
  122,819 reads (344,149,247 bp)
  122,961 reads (344,635,045 bp)
  123,147 reads (345,119,615 bp)
  123,340 reads (345,605,347 bp)
  123,510 reads (346,089,275 bp)
  123,695 reads (346,572,898 bp)
  123,873 reads (347,058,883 bp)
  124,052 reads (347,546,246 bp)
  124,228 reads (348,035,666 bp)
  124,388 reads (348,521,082 bp)
  124,536 reads (349,010,336 bp)
  124,710 reads (349,496,175 bp)
  124,885 reads (349,996,236 bp)
  125,054 reads (350,499,526 bp)
  125,229 reads (350,983,587 bp)
  125,392 reads (351,467,228 bp)
  125,535 reads (351,951,643 bp)
  125,690 reads (352,436,974 bp)
  125,847 reads (352,922,391 bp)
  126,008 reads (353,411,405 bp)
  126,158 reads (353,895,108 bp)
  126,337 reads (354,389,357 bp)
  126,506 reads (354,876,349 bp)
  126,680 reads (355,362,011 bp)
  126,839 reads (355,854,572 bp)
  127,036 reads (356,338,349 bp)
  127,231 reads (356,830,972 bp)
  127,414 reads (357,322,919 bp)
  127,569 reads (357,806,648 bp)
  127,716 reads (358,294,196 bp)
  127,859 reads (358,781,984 bp)
  128,016 reads (359,272,072 bp)
  128,175 reads (359,758,444 bp)
  128,350 reads (360,242,259 bp)
  128,508 reads (360,725,871 bp)
  128,699 reads (361,214,731 bp)
