
Scoring long reads

  213 reads (485,345 bp)
  417 reads (972,241 bp)
  583 reads (1,462,064 bp)
  732 reads (1,946,198 bp)
  868 reads (2,431,285 bp)
  1,001 reads (2,926,051 bp)
  1,139 reads (3,410,595 bp)
  86,830 reads (323,997,124 bp)
  86,974 reads (324,487,851 bp)
  87,135 reads (324,972,817 bp)
  87,274 reads (325,459,432 bp)
  87,419 reads (325,946,655 bp)
  87,540 reads (326,448,704 bp)
  87,651 reads (326,938,450 bp)
  87,785 reads (327,429,205 bp)
  87,936 reads (327,918,562 bp)
  88,066 reads (328,402,321 bp)
  88,211 reads (328,900,369 bp)
  88,357 reads (329,387,619 bp)
  88,484 reads (329,873,209 bp)
  88,608 reads (330,356,927 bp)
  88,723 reads (330,845,611 bp)
  88,854 reads (331,329,914 bp)
  89,002 reads (331,814,120 bp)
  89,114 reads (332,297,929 bp)
  89,243 reads (332,782,864 bp)
  89,381 reads (333,267,572 bp)
  89,501 reads (333,768,548 bp)
  89,617 reads (334,256,496 bp)
  89,745 reads (334,753,752 bp)
  89,875 reads (335,238,756 bp)
  89,995 reads (335,722,678 bp)
  90,136 reads (336,206,736 bp)
  90,264 reads (336,691,659 bp)
  90,394 reads (337,179,713 bp)
  90,511 reads (337,664,166 bp)
  90,661 reads (338,148,295 bp)
  90,802 reads (338,635,138 bp)
  90,928 reads (339,122,072 bp)
  91,044 reads (339,615,374 bp)
  91,161 reads (340,110,983 bp)
  91,271 reads (340,596,953 bp)
  91,382 reads (341,095,110 bp)
  91,508 reads (341,591,212 bp)
  91,644 reads (342,080,061 bp)
  91,781 reads (342,564,572 bp)
  91,894 reads (343,048,649 bp)
  92,019 reads (343,543,691 bp)
  92,139 reads (344,027,878 bp)
  92,271 reads (344,514,522 bp)
  92,395 reads (345,000,696 bp)
  92,532 reads (345,493,112 bp)
  92,663 reads (345,977,124 bp)
  92,798 reads (346,461,067 bp)
  92,929 reads (346,946,041 bp)
  93,062 reads (347,433,380 bp)
  93,176 reads (347,917,816 bp)
  93,299 reads (348,410,318 bp)
  93,425 reads (348,894,492 bp)
  93,548 reads (349,381,560 bp)
  93,666 reads (349,869,115 bp)
  93,792 reads (350,353,289 bp)
  93,909 reads (350,840,936 bp)
  94,053 reads (351,331,198 bp)
  94,191 reads (351,815,474 bp)
  94,316 reads (352,301,471 bp)
  94,437 reads (352,785,187 bp)
  94,579 reads (353,276,030 bp)
  94,717 reads (353,762,951 bp)
  94,844 reads (354,248,837 bp)
  94,961 reads (354,737,822 bp)
  95,096 reads (355,228,313 bp)
  95,232 reads (355,712,553 bp)
  95,356 reads (356,198,744 bp)
  95,489 reads (356,685,092 bp)
  95,624 reads (357,170,169 bp)
  95,762 reads (357,654,937 bp)
  95,895 reads (358,143,608 bp)
  96,027 reads (358,631,368 bp)
  96,151 reads (359,122,765 bp)
  96,280 reads (359,608,788 bp)
  96,397 reads (360,099,144 bp)
  96,542 reads (360,583,993 bp)
  96,665 reads (361,068,992 bp)
  96,821 reads (361,553,435 bp)
  96,970 reads (362,042,930 bp)
  97,077 reads (362,528,414 bp)
